epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1329,0,330.275,0,0,0,0,0,0,137.22,0,4.287e-05,4.287e-05,4.287e-05
2,49.5356,0,258.144,0,0,0,0,0,0,116.949,0,9.90397e-05,9.90397e-05,9.90397e-05
3,74.9718,0,201.443,0,0,0,0,0,0,109.619,0,0.000154078,0.000154078,0.000154078
4,99.2598,0,148.296,0,0,0,0,0,0,102.108,0,0.000207984,0.000207984,0.000207984
5,124.239,0,108.713,0,0,0,0,0,0,94.1937,0,0.000260758,0.000260758,0.000260758
6,150.716,0,89.469,0,0,0,0,0,0,85.2443,0,0.000312401,0.000312401,0.000312401
7,174.906,0,72.4188,0,0,0,0,0,0,77.636,0,0.000362912,0.000362912,0.000362912
8,198.927,0,58.6511,0,0,0,0,0,0,67.916,0,0.000412291,0.000412291,0.000412291
9,224.227,0,46.6524,0,0,0,0,0,0,56.23,0,0.000460538,0.000460538,0.000460538
10,250.044,0,36.696,0,0,0,0,0,0,45.1336,0,0.000507654,0.000507654,0.000507654
11,273.785,0,28.2925,0,0,0,0,0,0,35.8785,0,0.000553637,0.000553637,0.000553637
12,297.933,0,23.8805,0,0,0,0,0,0,26.0555,0,0.000598489,0.000598489,0.000598489
13,322.411,0,18.2708,0,0,0,0,0,0,17.6112,0,0.00064221,0.00064221,0.00064221
14,348.427,0,14.6996,0,0,0,0,0,0,14.2725,0,0.000684798,0.000684798,0.000684798
15,373.079,0,12.227,0,0,0,0,0,0,12.7409,0,0.000726255,0.000726255,0.000726255
16,399.095,0,11.2782,0,0,0,0,0,0,80.165,0,0.00076658,0.00076658,0.00076658
