epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5675,1.54393,3.98475,1.8223,0.04172,0.6,0.11747,0.05701,1.24181,4.46886,1.36727,4.287e-05,4.287e-05,4.287e-05
2,49.7516,1.14354,3.22545,1.39032,0.57819,0.6,0.56937,0.40547,1.10904,2.91333,1.19841,9.90397e-05,9.90397e-05,9.90397e-05
3,75.7577,1.00835,2.09057,1.21523,0.32962,0.8865,0.50411,0.39724,0.90894,2.22695,1.059,0.000154078,0.000154078,0.000154078
4,100.772,0.92313,1.87735,1.15562,0.31992,1,0.60994,0.43123,0.94281,2.01075,1.17307,0.000207984,0.000207984,0.000207984
5,127.039,0.97205,1.66205,1.11529,0.32775,1,0.52502,0.40577,0.87717,1.87239,1.16108,0.000260758,0.000260758,0.000260758
6,151.955,0.98162,1.7449,1.16885,0.28882,1,0.54458,0.43073,0.93229,1.93211,1.2071,0.000312401,0.000312401,0.000312401
7,176.095,0.87599,1.55017,1.08718,0.34057,1,0.49853,0.39735,0.80767,1.74853,1.07906,0.000362912,0.000362912,0.000362912
8,200.595,0.92388,1.47706,1.09829,0.29174,0.93333,0.49537,0.3621,0.84581,1.94437,1.14134,0.000412291,0.000412291,0.000412291
9,225.091,1.01108,1.49952,1.18801,0.31864,0.73746,0.54207,0.41156,0.94022,1.82912,1.11193,0.000460538,0.000460538,0.000460538
10,250.416,0.98499,1.46094,1.14724,0.42738,0.73456,0.5696,0.44733,0.742,1.7536,0.9861,0.000507654,0.000507654,0.000507654
11,276.598,0.99964,1.47587,1.14533,0.42999,0.9152,0.56419,0.45959,0.7282,1.50453,0.98399,0.000553637,0.000553637,0.000553637
12,301.301,0.89033,1.33424,1.04753,0.37903,0.93333,0.54458,0.43137,0.8902,1.55684,1.07831,0.000598489,0.000598489,0.000598489
13,325.364,0.91641,1.39578,1.11794,0.34742,0.6,0.43977,0.35861,0.91557,2.34689,1.12815,0.00064221,0.00064221,0.00064221
14,349.564,0.9909,1.33175,1.17075,0.34903,0.71728,0.42963,0.34405,0.8441,2.05266,1.07198,0.000684798,0.000684798,0.000684798
15,374.681,0.99911,1.23009,1.15411,0.20059,0.86667,0.34778,0.24297,1.04956,2.19785,1.21941,0.000726255,0.000726255,0.000726255
16,399.095,0.97763,1.29216,1.12617,0.27349,0.61657,0.37185,0.26273,0.94327,2.2167,1.2281,0.00076658,0.00076658,0.00076658
